> Date,Libellé,Montant,Tag,Type
>2021/02/15,Intermarché,-59.86€,bouffe,
>2021/02/15,Intermarché,-38.90€,bouffe,
>2021/02/15,Maison du thé,-30.00€,bouffe,
>2021/02/15,Kebab : Otantik kebab,-24.50€,restau,
>2021/02/15,Dialogues (Librairie),-9.70€,culture,
>2021/02/15,Pâtisserie On fait des Gateaux,-4.40€,bouffe,
>2021/02/15,MKM (Magic),3.58€,remboursement,magic,
>2021/02/12,MKM (Magic),5.10€,remboursement,magic,
>2021/02/11,Boulangerie (Fournil SS CON?),-5.00€,bouffe,
>2021/02/11,MKM (Magic),19.54€,remboursement,magic,
>2021/02/10,Intermarché,-38.79€,bouffe,
>2021/02/10,Virement Mika,900.00€,remboursement,caché,
>2021/02/10,MKM (Magic),2.05€,remboursement,magic,
>2021/02/10,Virement Maeliss,450.00€,remboursement,caché,
>2021/02/09,Géant,-73.62€,bouffe,
>2021/02/09,Ludik Addict,-37.50€,culture,
>2021/02/09,Dialogues (Librairie),-22.80€,culture,
>2021/02/09,La poste,-22.05€,matériel,
>2021/02/09,La poste,-21.96€,matériel,
>2021/02/09,MKM (Magic),8.05€,remboursement,magic,
>2021/02/08,Virement Frederic Viera,-465.00€,loyer,
>2021/02/08,Géant,-55.32€,bouffe,
>2021/02/08,Burgers de Papa,-31.80€,restau,
>2021/02/08,Ti Coop,-11.19€,bouffe,
>2021/02/08,Pâtisserie On fait des Gateaux,-9.50€,bouffe,
>2021/02/08,MKM (Magic),2.75€,remboursement,magic,
>2021/02/05,Ti Coop,-30.55€,bouffe,
>2021/02/05,Géant,-23.72€,bouffe,
>2021/02/05,PLPR,85.00€,remboursement,culture,
>2021/02/05,MKM (Magic),37.04€,remboursement,magic,
>2021/02/04,Ludik Addict,-9.00€,culture,
>2021/02/04,MKM (Magic),10.72€,remboursement,magic,
>2021/02/04,MKM (Magic),2.56€,remboursement,magic,
>2021/02/03,Thomann,-99.00€,culture,
>2021/02/02,Géant,-84.27€,bouffe,
>2021/02/02,Netflix,-7.99€,abonnement,
>2021/02/01,MKM (Magic),-57.69€,magic,
>2021/02/01,MKM (Magic),-30.11€,magic,
>2021/02/01,MKM (Magic),-12.79€,magic,
>2021/02/01,Géant,-65.36€,bouffe,
>2021/02/01,Bouchara,-7.98€,matériel,
>2021/02/01,Ti Coop,-4.43€,bouffe,
>2021/02/01,Intermarché,-4.17€,bouffe,
>2021/02/01,Virement William,568.48€,remboursement,caché,
>2021/02/01,Virement Mika,50.00€,remboursement,caché,
>2021/01/29,Ti Coop,-27.08€,bouffe,
>2021/01/28,MKM (Magic),-30.00€,magic,
>2021/01/26,MKM (Magic),-35.64€,magic,
>2021/01/26,La poste mobile,-9.99€,abonnement,
>2021/01/26,Intermarché,-45.06€,bouffe,
>2021/01/25,Géant,-74.70€,bouffe,
>2021/01/25,Bouchara,-19.97€,matériel,
>2021/01/25,Intermarché,-13.97€,bouffe,
>2021/01/25,Ludik Addict,-9.00€,culture,
>2021/01/25,Intermarché,-4.13€,bouffe,
>2021/01/22,Virement Mika,-150.00€,caché,
>2021/01/22,MKM (Magic),-3.58€,magic,
>2021/01/21,MKM (Magic),-23.33€,magic,
>2021/01/20,Music Star,-39.00€,culture,
>2021/01/20,Intermarché,-14.87€,bouffe,
>2021/01/20,Hello Asso : écovillage,-5.00€,don,
>2021/01/19,Dialogues (Librairie),-11.45€,culture,
>2021/01/19,Croc Jeux,-11.00€,culture,
>2021/01/18,MKM (Magic),-30.21€,magic,
>2021/01/15,Géant,-92.31€,bouffe,
>2021/01/15,Ti Coop,-11.45€,bouffe,
>2021/01/15,La poste,-3.00€,matériel,
>2021/01/14,Intermarché,-22.14€,bouffe,
>2021/01/14,MKM (Magic),6.11€,remboursement,magic,
>2021/01/13,Virement Maeliss,-150.00€,caché,
>2021/01/13,Virement Maeliss,-100.00€,caché,
>2021/01/13,MKM (Magic),21.55€,remboursement,magic,
>2021/01/13,MKM (Magic),15.37€,remboursement,magic,
>2021/01/11,Décathlon,-25.80€,matériel,
>2021/01/11,Intermarché,-14.04€,bouffe,
>2021/01/11,MKM (Magic),13.11€,remboursement,magic,
>2021/01/08,Virement Frederic Viera,-465.00€,loyer,
>2021/01/08,MKM (Magic),-15.37€,magic,
>2021/01/08,Kebab : Otantik kebab,-9.00€,restau,
>2021/01/07,MKM (Magic),-13.77€,magic,
>2021/01/07,Frais Banque,-24.60€,banque,
>2021/01/07,Virement Mika,700.00€,remboursement,caché,
>2021/01/07,Remboursement Maman Mika,61.00€,remboursement,caché,
>2021/01/06,Agios (remise ou pas),1.50€,remboursement,perso,
>2021/01/06,Agios (remise ou pas),-1.50€,perso,
>2021/01/06,Don à CARE,-10.00€,don,
>2021/01/06,Carrefour,-43.63€,bouffe,
>2021/01/06,Primeur (Mistinguette),-15.83€,bouffe,
>2021/01/06,MKM (Magic),25.50€,remboursement,magic,
>2021/01/06,MKM (Magic),12.62€,remboursement,magic,
>2021/01/06,Virement Maeliss,800.00€,remboursement,caché,
>2021/01/05,Pharmacie Nico (PR),-24.70€,santé,
>2021/01/05,La poste,-9.00€,matériel,
>2021/01/05,La poste,-3.00€,matériel,
>2021/01/05,Retrait,-20.00€,dab,
>2021/01/04,MKM (Magic),-10.51€,magic,
>2021/01/04,Intermarché,-41.94€,bouffe,
>2021/01/04,Netflix,-7.99€,abonnement,
>2021/01/04,Virement Maeliss,150.00€,remboursement,caché,
>2020/12/31,MKM (Magic),-14.99€,magic,
>2020/12/31,Géant,-87.01€,bouffe,
>2020/12/31,Ti Coop,-53.76€,bouffe,
>2020/12/30,MKM (Magic),-3.88€,magic,
>2020/12/30,Dialogues (Librairie),-31.50€,culture,
>2020/12/29,MKM (Magic),-7.63€,magic,
>2020/12/28,Virement Maeliss,-50.00€,caché,
>2020/12/28,MKM (Magic),-4.23€,magic,
>2020/12/24,Virement Maeliss,-100.00€,caché,
>2020/12/24,La poste mobile,-9.99€,abonnement,
>2020/12/21,Géant,-68.13€,bouffe,
>2020/12/18,Anniv Bérangère,-30.70€,cadeau,
>2020/12/17,Virement Maeliss,-150.00€,caché,
>2020/12/17,Carrefour Express,-11.75€,bouffe,
>2020/12/15,MKM (Magic),-6.89€,magic,
>2020/12/15,Celio,-99.98€,vêtements,
>2020/12/15,Leclerc,-29.20€,bouffe,
>2020/12/15,McDo,-9.30€,restau,
>2020/12/15,Croc Jeux,-6.00€,culture,
>2020/12/14,Géant,-36.97€,bouffe,
>2020/12/14,T Shirt,-15.00€,cadeau,
>2020/12/11,Boulanger,-54.99€,matériel,
>2020/12/11,IKEA,-36.94€,matériel,
>2020/12/11,Géant,-36.30€,bouffe,
>2020/12/11,Boulanger,-19.99€,matériel,
>2020/12/10,Intermarché,-32.91€,bouffe,
>2020/12/09,MKM (Magic),-12.52€,magic,
>2020/12/08,Virement Frederic Viera,-465.00€,loyer,
>2020/12/07,Don à CARE,-10.00€,don,
>2020/12/07,Décathlon,-19.00€,matériel,
>2020/12/04,MKM (Magic),-3.66€,magic,
>2020/12/04,Leclerc,-50.14€,bouffe,
>2020/12/04,Maison du thé,-34.90€,bouffe,
>2020/12/04,Maison du Monde,-13.98€,matériel,
>2020/12/04,Netflix,-7.99€,abonnement,
>2020/12/04,Virement Mika,650.00€,remboursement,caché,
>2020/12/02,Intermarché,-38.54€,bouffe,
>2020/12/02,Virement Maeliss,700.00€,remboursement,caché,
>2020/12/01,MKM (Magic),-19.88€,magic,
>2020/11/30,Dr Quemeneur (Ostéo),-60.00€,santé,
>2020/11/30,Le Bodrum (Kebab),-14.50€,restau,
>2020/11/27,Croc Jeux,-27.00€,culture,
>2020/11/27,Ti Coop,-15.75€,bouffe,
>2020/11/26,Carrefour,-38.65€,bouffe,
>2020/11/24,La poste mobile,-9.99€,abonnement,
>2020/11/24,Intermarché,-43.66€,bouffe,
>2020/11/24,Ti Coop,-41.84€,bouffe,
>2020/11/23,MKM (Magic),-12.31€,magic,
>2020/11/23,Ti Coop,-5.20€,bouffe,
>2020/11/23,Boulangerie : Fournil de Pauline,-4.00€,bouffe,
>2020/11/23,Virement William,314.58€,remboursement,caché,
>2020/11/23,Virement Maeliss,100.00€,remboursement,caché,
>2020/11/19,Ti Coop,-41.21€,bouffe,
>2020/11/19,Intermarché,-28.11€,bouffe,
>2020/11/18,Leclerc,-26.78€,bouffe,
>2020/11/18,Burreau Vallée,-20.67€,matériel,
>2020/11/18,Harmonie mutuelle,7.50€,remboursement,santé,
