> Date,Libellé,Montant,Tag,Type
>2021/07/13,Virement Maeliss,-100.00€,caché,
>2021/07/12,Harmonie mutuelle,-12.00€,santé,
>2021/07/12,Intermarché,-8.08€,bouffe,
>2021/07/09,MKM (Magic),-6.91€,magic,
>2021/07/09,Cinéma Le Celtic,-86.40€,sortie,
>2021/07/09,Maison du thé,-38.70€,bouffe,
>2021/07/09,Ti Coop,-19.79€,bouffe,
>2021/07/09,Cinéma Le Celtic,-16.70€,sortie,
>2021/07/09,Ludik Addict,-12.00€,culture,
>2021/07/08,Virement Frederic Viera,-465.00€,loyer,
>2021/07/08,Intermarché,-30.05€,bouffe,
>2021/07/08,Recharge.fr,-16.49€,culture,
>2021/07/08,Virement Mika,800.00€,caché,
>2021/07/07,MKM (Magic),-3.38€,magic,
>2021/07/05,Agios (remise ou pas),1.50€,remboursement,perso,
>2021/07/05,Agios (remise ou pas),-1.50€,perso,
>2021/07/05,Vacances : La Boucherie,-41.00€,perso,
>2021/07/05,Vacances : Crêperie Le Kiosk,-38.80€,perso,
>2021/07/05,Netflix,-7.99€,abonnement,
>2021/07/05,Vacances : Bar Ty Coz,-6.40€,perso,
>2021/07/05,Vacances : Hôtel Albatros,-2.00€,perso,
>2021/07/05,Frais Banque,-24.60€,banque,
>2021/07/02,Boulangerie : Fournil de Pauline,-10.00€,bouffe,
>2021/07/01,Vacances : Au vent des iles (resto),-64.50€,perso,
>2021/07/01,Vacabces : Blev Hir,-30.30€,perso,
>2021/07/01,Vacances : Tara Inn,-9.40€,perso,
>2021/06/30,Intermarché,-44.06€,bouffe,
>2021/06/30,Géant,-26.18€,bouffe,
>2021/06/30,Vacances : SNCF,-10.00€,perso,
>2021/06/30,Virement Maeliss,700.00€,caché,
>2021/06/29,MKM (Magic),-18.41€,magic,
>2021/06/29,Décathlon,-183.95€,matériel,
>2021/06/29,Remise de chèque: anniv mika de sa mère,40.00€,remboursement,cadeau,
>2021/06/28,Pharmacie Nicolas,-47.85€,santé,
>2021/06/28,La Tomate,-44.85€,restau,
>2021/06/28,La poste,-14.04€,matériel,
>2021/06/28,Virement Mika,200.00€,caché,
>2021/06/25,La poste mobile,-9.99€,abonnement,
>2021/06/25,Vacances : Abritel,-197.40€,perso,
>2021/06/24,Intermarché,-39.45€,bouffe,
>2021/06/22,The Blind Piper,-16.00€,sortie,
>2021/06/22,The Blind Piper,-11.90€,sortie,
>2021/06/21,Ti Coop,-53.05€,bouffe,
>2021/06/18,MKM (Magic),-5.33€,magic,
>2021/06/18,Dialogues (Librairie),-25.00€,cadeau,
>2021/06/18,Dialogues (Librairie),-24.95€,culture,
>2021/06/18,Intermarché,-38.27€,bouffe,
>2021/06/18,Ludik Addict,-12.00€,culture,
>2021/06/18,Croc Jeux,-11.00€,culture,
>2021/06/18,Maison du thé,-9.20€,bouffe,
>2021/06/17,Gamefound,-71.19€,culture,
>2021/06/17,Izee,-9.90€,restau,
>2021/06/17,Virement Mika,500.00€,caché,
