> Date,Libellé,Montant,Tag,Type
>2021/06/15,Ti Coop,-18.85€,bouffe,
>2021/06/15,Ti Coop,-10.00€,bouffe,
>2021/06/15,Virement Maeliss,800.00€,caché,
>2021/06/14,Leclerc,-53.49€,bouffe,
>2021/06/14,Croc Jeux,-48.00€,culture,
>2021/06/14,Kebab : Otantik kebab,-18.00€,restau,
>2021/06/14,Paps n Babs (Bar),-7.30€,sortie,
>2021/06/14,Paps n Babs (Bar),-6.50€,sortie,
>2021/06/14,Boulangerie : Fournil de Pauline,-5.70€,bouffe,
>2021/06/11,Harmonie mutuelle,-12.00€,santé,
>2021/06/11,IKEA,-44.93€,matériel,
>2021/06/11,Chapitres (Bar),-25.90€,sortie,
>2021/06/11,Décathlon,-19.00€,matériel,
>2021/06/09,Intermarché,-30.03€,bouffe,
>2021/06/09,Maison du thé,-22.40€,bouffe,
>2021/06/09,Azra Market,-2.20€,bouffe,
>2021/06/08,Virement Frederic Viera,-465.00€,loyer,
>2021/06/08,Harmonie mutuelle,4.32€,remboursement,santé,
>2021/06/07,Belisoft,-74.70€,perso,
>2021/06/07,Amazon,-70.86€,matériel,
>2021/06/07,Intermarché,-61.61€,bouffe,
>2021/06/07,Orijinal Pide,-32.70€,restau,
>2021/06/04,MKM (Magic),-10.48€,magic,
>2021/06/04,Burger King,-21.30€,restau,
>2021/06/04,Netflix,-7.99€,abonnement,
>2021/06/04,PLPR,119.00€,remboursement,culture,
>2021/06/03,Barado'Zic (Bar),-7.50€,sortie,
>2021/06/03,Virement Maeliss,700.00€,caché,
>2021/05/31,Géant,-64.18€,bouffe,
>2021/05/31,Boulangerie : Fournil de Pauline,-18.00€,bouffe,
>2021/05/31,Brulerie,-9.60€,bouffe,
>2021/05/31,Carrefour,-6.75€,bouffe,
>2021/05/28,Kebab : Otantik kebab,-25.50€,restau,
>2021/05/27,MKM (Magic),-7.62€,magic,
>2021/05/26,La poste mobile,-9.99€,abonnement,
>2021/05/26,Intermarché,-74.67€,bouffe,
>2021/05/25,Géant,-95.31€,bouffe,
>2021/05/25,Ti Coop,-52.93€,bouffe,
>2021/05/25,Tartines d'Autrefois,-5.20€,bouffe,
>2021/05/25,La poste,-2.00€,matériel,
>2021/05/25,Harmonie mutuelle,7.50€,remboursement,santé,
>2021/05/19,Laboratoire d'Analyse Médicale Glasgow,-15.88€,santé,
>2021/05/19,Dr DU CORAIL,-7.50€,santé,
>2021/05/18,Intermarché,-33.62€,bouffe,
>2021/05/18,Intermarché,-32.03€,bouffe,
>2021/05/18,Burgers de Papa,-31.30€,restau,
>2021/05/17,Intermarché,-41.03€,bouffe,
