> Date,Libellé,Montant,Tag,Type
>2021/09/15,Pharmacie Nicolas,-25.55€,santé,
>2021/09/15,Coiffeur : Kaméléon,-20.00€,santé,
>2021/09/14,MKM,26.74€,remboursement,magic,
>2021/09/13,China Town,-39.80€,restau,
>2021/09/13,La crêpe flambée,-29.60€,restau,
>2021/09/13,Brico Dépot,-13.00€,perso,
>2021/09/13,Carpe Diem,-4.00€,bouffe,
>2021/09/13,Intermarché,-3.41€,bouffe,
>2021/09/10,Harmonie mutuelle,-12.00€,santé,
>2021/09/10,Virement William,436.30€,caché,
>2021/09/10,Virement Maeliss,400.00€,caché,
>2021/09/09,Troc.com,-405.00€,perso,
>2021/09/09,Thomann,-224.50€,culture,
>2021/09/09,Steakhouse turc,-35.00€,restau,
>2021/09/08,Virement Frederic Viera,-465.00€,loyer,
>2021/09/08,Intermarché,-1.70€,bouffe,
>2021/09/07,Arkéa,-70.00€,bouffe,
>2021/09/07,Macdo Le Relecq,-21.90€,restau,
>2021/09/07,Ludik Addict,-12.60€,culture,
>2021/09/07,Leclerc,-4.90€,bouffe,
>2021/09/07,Leclerc,-30.00€,bouffe,
>2021/09/06,Virement Maeliss,-200.00€,caché,
>2021/09/06,Virement Maeliss,-1500.00€,caché,
>2021/09/06,MKM (Magic),-3.18€,magic,
>2021/09/06,Réparations vélo + cours,-81.00€,transport,
>2021/09/06,Le FAP,-35.50€,restau,
>2021/09/06,Intermarché,-27.80€,bouffe,
>2021/09/06,Kebab : Otantik kebab,-23.00€,restau,
>2021/09/03,Netflix,-7.99€,abonnement,
>2021/09/01,Ludik Addict,-16.00€,culture,
>2021/08/31,Décathlon,-36.00€,matériel,
>2021/08/31,Boulangerie David Le Relecq,-7.30€,bouffe,
>2021/08/31,Virement Mika,2000.00€,caché,
>2021/08/31,"""VIREMENT DE M. KEVIN BIARDEAU REFERENCE : 0190243100005001  """,650.00€,remboursement,caché,
>2021/08/30,MKM (Magic),-7.52€,magic,
>2021/08/30,Bouygues Tel,-48.00€,abonnement,
>2021/08/30,Ludik Addict,-44.60€,culture,
>2021/08/30,Ti Coop,-26.07€,bouffe,
>2021/08/30,Cinéma Le Celtic,-19.20€,sortie,
>2021/08/30,Picard,-14.10€,bouffe,
>2021/08/30,Intermarché,-13.16€,bouffe,
>2021/08/30,The Cottage,-10.30€,sortie,
>2021/08/30,Dr DU CORAIL,-7.50€,santé,
>2021/08/27,MKM (Magic),-7.16€,magic,
>2021/08/27,Intermarché,-9.06€,bouffe,
>2021/08/27,Intermarché,-5.86€,bouffe,
>2021/08/27,MKM,8.86€,remboursement,magic,
>2021/08/26,Virement Maeliss,200.00€,caché,
>2021/08/25,Intermarché,-7.33€,bouffe,
>2021/08/25,Boulangerie : Le Moulin de l'Iroise,-4.05€,bouffe,
>2021/08/25,Virement William,436.30€,caché,
>2021/08/24,La poste mobile,-9.99€,abonnement,
>2021/08/24,La poste,-8.50€,matériel,
>2021/08/24,"""VIREMENT DE LARGENTON ARTHUR Virement depuis Ma Banque REFERENCE : 0190235100122001 """,8.50€,remboursement,matériel,
>2021/08/23,Burgers de Papa,-26.80€,restau,
>2021/08/23,Boulangerie : Fournil de Pauline,-20.20€,bouffe,
>2021/08/23,Café La Touline Camaret,-14.00€,sortie,
>2021/08/23,Intermarché,-3.78€,bouffe,
>2021/08/20,Virement Maeliss,150.00€,caché,
>2021/08/19,Arkéa,-50.00€,bouffe,
>2021/08/18,Intermarché,-32.31€,bouffe,
>2021/08/18,Azra Market,-9.80€,bouffe,
>2021/08/18,Macdo,-5.90€,restau,
>2021/08/18,Bibus,-4.00€,transport,
>2021/08/17,MKM (Magic),-39.18€,magic,
>2021/08/17,Virement Maeliss,100.00€,caché,
>2021/08/17,Virement Maeliss,150.00€,caché,
>2021/08/16,Intermarché,-9.63€,bouffe,
>2021/08/16,Bureau Vallée,-53.33€,matériel,
>2021/08/16,Ludik Addict,-52.10€,culture,
>2021/08/16,Burger King,-24.40€,restau,
>2021/08/16,Ludik Addict,-11.50€,culture,
