> Date,Libellé,Montant,Tag,Type
>2021/05/14,Ludik Addict,-38.58€,culture,
>2021/05/14,Intermarché,-16.62€,bouffe,
>2021/05/12,Carrefour,-73.25€,bouffe,
>2021/05/10,Virement Frederic Viera,-465.00€,loyer,
>2021/05/10,Leclerc,-49.23€,bouffe,
>2021/05/10,Intermarché,-13.69€,bouffe,
>2021/05/07,Idéal Coiffure,-17.00€,santé,
>2021/05/07,Virement Maeliss,500.00€,caché,
>2021/05/06,MKM (Magic),-3.51€,magic,
>2021/05/06,Intermarché,-46.71€,bouffe,
>2021/05/06,Brasserie Poem,-15.00€,bouffe,
>2021/05/06,Maison du thé,-12.75€,bouffe,
>2021/05/06,Virement Mika,700.00€,caché,
>2021/05/05,Ty Veggie,-24.00€,bouffe,
>2021/05/05,Leclerc,-9.92€,bouffe,
>2021/05/04,Ti Coop,-33.31€,bouffe,
>2021/05/04,Intermarché,-29.47€,bouffe,
>2021/05/04,Frais banque,-0.70€,banque,
>2021/05/03,Intermarché,-26.98€,bouffe,
>2021/05/03,Intermarché,-22.02€,bouffe,
>2021/05/03,Netflix,-7.99€,abonnement,
>2021/04/30,MKM (Magic),-1.73€,magic,
>2021/04/30,MKM (Magic),-5.28€,magic,
>2021/04/30,Virement William,-217.48€,caché,
>2021/04/30,La Rose Crémière (Fromage),-10.05€,bouffe,
>2021/04/30,Boulangerie : Fournil de Pauline,-0.40€,bouffe,
>2021/04/30,MKM (Magic),1.03€,remboursement,magic,
>2021/04/29,Ludik Addict,-26.00€,culture,
>2021/04/29,Bureau Vallée,-9.99€,matériel,
>2021/04/27,Intermarché,-90.36€,bouffe,
>2021/04/27,Savonnerie La Licorne,-35.34€,bouffe,
>2021/04/27,La poste,-17.20€,matériel,
>2021/04/27,La poste,-1.56€,matériel,
>2021/04/26,MKM (Magic),-14.61€,magic,
>2021/04/26,La poste mobile,-9.99€,abonnement,
>2021/04/22,Intermarché,-16.37€,bouffe,
>2021/04/20,MKM (Magic),-101.77€,magic,
>2021/04/20,Intermarché,-88.48€,bouffe,
>2021/04/20,Ti Coop,-50.10€,bouffe,
>2021/04/20,Virement Mika,700.00€,caché,
>2021/04/19,Saveurs du potager (épicerie),-25.28€,bouffe,
>2021/04/16,Virement Maeliss,200.00€,caché,
