> Date,Libellé,Montant,Tag,Type
>2021/03/15,MKM (Magic),0.90€,remboursement,magic,
>2021/03/10,Intermarché,-57.09€,bouffe,
>2021/03/10,Boulangerie (Fournil SS CON?),-3.60€,bouffe,
>2021/03/10,Boulangerie (Fournil SS CON?),-2.00€,bouffe,
>2021/03/10,Virement Mika,500.00€,caché,
>2021/03/10,MKM (Magic),0.28€,remboursement,magic,
>2021/03/09,MKM (Magic),12.08€,remboursement,magic,
>2021/03/08,Virement Frederic Viera,-465.00€,loyer,
>2021/03/08,Géant,-64.09€,bouffe,
>2021/03/08,Boulangerie (Fournil SS CON?),-18.50€,bouffe,
>2021/03/08,La maison du boulanger,-2.45€,bouffe,
>2021/03/04,Maison du thé,-4.60€,bouffe,
>2021/03/04,"Primeur (Halles Saint Louis, La Corbeille d'Or)",-2.50€,bouffe,
>2021/03/04,MKM (Magic),35.67€,remboursement,magic,
>2021/03/03,MKM (Magic),-4.50€,magic,
>2021/03/03,Intermarché,-53.04€,bouffe,
>2021/03/03,Netflix,-7.99€,abonnement,
>2021/03/03,Ti Coop,-7.58€,bouffe,
>2021/03/03,Ti Coop,-6.63€,bouffe,
>2021/03/03,Virement Maeliss,500.00€,caché,
>2021/03/02,Dialogues (Librairie),-9.90€,culture,
>2021/03/02,Bureau Vallée,-8.34€,matériel,
>2021/03/02,La poste,-4.00€,matériel,
>2021/03/02,MKM (Magic),23.22€,remboursement,magic,
>2021/03/01,Intermarché,-57.01€,bouffe,
>2021/02/26,Hello Asso : Visite éco-village,-26.00€,autre,
>2021/02/24,La poste mobile,-9.99€,abonnement,
>2021/02/23,MKM (Magic),-11.30€,magic,
>2021/02/23,La poste,-4.20€,matériel,
>2021/02/23,Retrait,-9.00€,culture,liquide
>2021/02/23,Retrait,-80.00€,dab,
>2021/02/22,MKM (Magic),-5.80€,magic,
>2021/02/22,Intermarché,-49.02€,bouffe,
>2021/02/22,La Rose Crémière (Fromage),-13.10€,bouffe,
>2021/02/22,Primeur (Mistinguette),-2.50€,bouffe,
>2021/02/18,Intermarché,-21.20€,bouffe,
>2021/02/17,MKM (Magic),-6.35€,magic,
>2021/02/17,Ti Coop,-14.98€,bouffe,
>2021/02/17,Poissonerie,-6.89€,bouffe,
>2021/02/16,Intermarché,-18.53€,bouffe,
>2021/02/16,MKM (Magic),124.60€,remboursement,magic,

