> Date,Libellé,Montant,Tag,Type
>2021/04/27,Intermarché,-90.36€,bouffe,
>2021/04/27,Savonnerie La Licorne,-35.34€,bouffe,
>2021/04/27,La poste,-17.20€,matériel,
>2021/04/27,La poste,-1.56€,matériel,
>2021/04/26,MKM (Magic),-14.61€,magic,
>2021/04/26,La poste mobile,-9.99€,abonnement,
>2021/04/22,Intermarché,-16.37€,bouffe,
>2021/04/20,MKM (Magic),-101.77€,magic,
>2021/04/20,Intermarché,-88.48€,bouffe,
>2021/04/20,Ti Coop,-50.10€,bouffe,
>2021/04/20,Virement Mika,700.00€,caché,
>2021/04/19,Saveurs du potager (épicerie),-25.28€,bouffe,
>2021/04/16,Virement Maeliss,200.00€,caché,
>2021/04/15,Brasserie Poem,-13.00€,bouffe,
>2021/04/14,Carrefour,-98.19€,bouffe,
>2021/04/14,Deliveroo,-42.17€,restau,
>2021/04/12,Géant,-80.68€,bouffe,
>2021/04/12,Music Star,-32.40€,culture,
>2021/04/12,Virement Maeliss,150.00€,caché,
>2021/04/08,Virement Frederic Viera,-415.00€,loyer,
>2021/04/08,MKM (Magic),-7.50€,magic,
>2021/04/07,Intermarché,-58.67€,bouffe,
>2021/04/07,Thomann,-54.80€,culture,
>2021/04/06,Agios (remise ou pas),1.50€,remboursement,perso,
>2021/04/06,Agios (remise ou pas),-1.50€,perso,
>2021/04/06,La maison du boulanger,-6.55€,bouffe,
>2021/04/06,Frais Banque,-24.60€,banque,
>2021/04/06,Virement Maeliss,600.00€,caché,
>2021/04/02,MKM (Magic),-12.27€,magic,
>2021/04/02,Intermarché,-53.63€,bouffe,
>2021/04/02,Netflix,-7.99€,abonnement,
>2021/04/01,Brasserie Bière & Malt,-10.40€,sortie,
>2021/03/31,Frais irrégularités de banque,-20.70€,banque,
>2021/03/31,Intermarché,-62.87€,bouffe,
>2021/03/30,MKM (Magic),-1.97€,magic,
>2021/03/30,Maison du thé,-48.20€,bouffe,
>2021/03/29,MKM (Magic),-2.20€,magic,
>2021/03/29,La maison du boulanger,-2.60€,bouffe,
>2021/03/26,Géant,-39.26€,bouffe,
>2021/03/25,MKM (Magic),-10.90€,magic,
>2021/03/24,La poste mobile,-9.99€,abonnement,
>2021/03/24,Intermarché,-51.12€,bouffe,
>2021/03/24,Bureau Vallée,-29.44€,matériel,
>2021/03/23,Ti Coop,-63.41€,bouffe,
>2021/03/23,Boulangerie (Fournil SS CON?),-6.90€,bouffe,
>2021/03/22,MKM (Magic),-4.88€,magic,
>2021/03/22,Virement Mika,-140.00€,caché,
>2021/03/22,Intermarché,-34.32€,bouffe,
>2021/03/19,Thomann,-86.44€,culture,
>2021/03/19,Boulangerie : Fournil de Pauline,-10.20€,bouffe,
>2021/03/19,MKM (Magic),0.48€,remboursement,magic,
>2021/03/16,Virement William,-120.34€,caché,
>2021/03/16,Carrefour,-58.34€,bouffe,
>2021/03/16,Marie Blachère,-6.60€,restau,
>2021/03/16,McDo,-4.50€,restau,
>2021/03/16,MKM (Magic),48.55€,remboursement,magic,
