> Date,Libellé,Montant,Tag,Type
>2021/01/15,Géant,-92.31€,bouffe,
>2021/01/15,Ti Coop,-11.45€,bouffe,
>2021/01/15,La poste,-3.00€,matériel,
>2021/01/14,Intermarché,-22.14€,bouffe,
>2021/01/14,MKM (Magic),6.11€,magic,
>2021/01/13,Virement Maeliss,-150.00€,caché,
>2021/01/13,Virement Maeliss,-100.00€,caché,
>2021/01/13,MKM (Magic),21.55€,magic,
>2021/01/13,MKM (Magic),15.37€,magic,
>2021/01/11,Décathlon,-25.80€,matériel,
>2021/01/11,Intermarché,-14.04€,bouffe,
>2021/01/11,MKM (Magic),13.11€,magic,
>2021/01/08,Virement Frederic Viera,-465.00€,loyer,
>2021/01/08,MKM (Magic),-15.37€,magic,
>2021/01/08,Kebab : Otantik kebab,-9.00€,restau,
>2021/01/07,MKM (Magic),-13.77€,magic,
>2021/01/07,Frais Banque,-24.60€,perso,
>2021/01/07,Virement Mika,700.00€,caché,
>2021/01/07,Remboursement Maman Mika,61.00€,caché,
>2021/01/06,Agios (remise ou pas),1.50€,perso,
>2021/01/06,Agios (remise ou pas),-1.50€,perso,
>2021/01/06,Don à CARE,-10.00€,don,
>2021/01/06,Carrefour,-43.63€,bouffe,
>2021/01/06,Primeur (Mistinguette),-15.83€,bouffe,
>2021/01/06,MKM (Magic),25.50€,magic,
>2021/01/06,MKM (Magic),12.62€,magic,
>2021/01/06,Virement Maeliss,800.00€,caché,
>2021/01/05,Pharmacie Nico (PR),-24.70€,santé,
>2021/01/05,La poste,-9.00€,matériel,
>2021/01/05,La poste,-3.00€,matériel,
>2021/01/05,Retrait,-20.00€,dab,
>2021/01/04,MKM (Magic),-10.51€,magic,
>2021/01/04,Intermarché,-41.94€,bouffe,
>2021/01/04,Netflix,-7.99€,abonnement,
>2021/01/04,Virement Maeliss,150.00€,caché,
>2020/12/31,MKM (Magic),-14.99€,magic,
>2020/12/31,Géant,-87.01€,bouffe,
>2020/12/31,Ti Coop,-53.76€,bouffe,
>2020/12/30,MKM (Magic),-3.88€,magic,
>2020/12/30,Dialogues (Librairie),-31.50€,culture,
>2020/12/29,MKM (Magic),-7.63€,magic,
>2020/12/28,Virement Maeliss,-50.00€,caché,
>2020/12/28,MKM (Magic),-4.23€,magic,
>2020/12/24,Virement Maeliss,-100.00€,caché,
>2020/12/24,La poste mobile,-9.99€,abonnement,
>2020/12/21,Géant,-68.13€,bouffe,
>2020/12/18,"""VIREMENT POUR PALFRAY AUBIN DE JAURIAS COMPTE FR76425591000004030732441 ANNIVERSAIRE BERANGERE""",-30.70€,,
>2020/12/17,Virement Maeliss,-150.00€,caché,
>2020/12/17,Carrefour Express,-11.75€,bouffe,
>2020/12/15,MKM (Magic),-6.89€,magic,
>2020/12/15,Celio,-99.98€,vêtements,
>2020/12/15,Leclerc,-29.20€,bouffe,
>2020/12/15,McDo,-9.30€,restau,
>2020/12/15,Croc Jeux,-6.00€,culture,
>2020/12/14,Géant,-36.97€,bouffe,
>2020/12/14,T Shirt,-15.00€,cadeau,
>2020/12/11,Boulanger,-54.99€,matériel,
>2020/12/11,IKEA,-36.94€,matériel,
>2020/12/11,Géant,-36.30€,bouffe,
>2020/12/11,Boulanger,-19.99€,matériel,
>2020/12/10,Intermarché,-32.91€,bouffe,
>2020/12/09,MKM (Magic),-12.52€,magic,
>2020/12/08,Virement Frederic Viera,-465.00€,loyer,
>2020/12/07,Don à CARE,-10.00€,don,
>2020/12/07,Décathlon,-19.00€,matériel,
>2020/12/04,MKM (Magic),-3.66€,magic,
>2020/12/04,Leclerc,-50.14€,bouffe,
>2020/12/04,Maison du thé,-34.90€,bouffe,
>2020/12/04,Maison du Monde,-13.98€,matériel,
>2020/12/04,Netflix,-7.99€,abonnement,
>2020/12/04,Virement Mika,650.00€,caché,
>2020/12/02,Intermarché,-38.54€,bouffe,
>2020/12/02,Virement Maeliss,700.00€,caché,
>2020/12/01,MKM (Magic),-19.88€,magic,
>2020/11/30,Dr Quemeneur (Ostéo),-60.00€,santé,
>2020/11/30,Le Bodrum (Kebab),-14.50€,restau,
>2020/11/27,Croc Jeux,-27.00€,culture,
>2020/11/27,Ti Coop,-15.75€,bouffe,
>2020/11/26,Carrefour,-38.65€,bouffe,
>2020/11/24,La poste mobile,-9.99€,abonnement,
>2020/11/24,Intermarché,-43.66€,bouffe,
>2020/11/24,Ti Coop,-41.84€,bouffe,
>2020/11/23,MKM (Magic),-12.31€,magic,
>2020/11/23,Ti Coop,-5.20€,bouffe,
>2020/11/23,Boulangerie : Fournil de Pauline,-4.00€,bouffe,
>2020/11/23,Virement William,314.58€,caché,
>2020/11/23,Virement Maeliss,100.00€,caché,
>2020/11/19,Ti Coop,-41.21€,bouffe,
>2020/11/19,Intermarché,-28.11€,bouffe,
>2020/11/18,Leclerc,-26.78€,bouffe,
>2020/11/18,Burreau Vallée,-20.67€,matériel,
>2020/11/18,Harmonie mutuelle,7.50€,santé,
>2020/11/17,Thomann,-49.09€,culture,
>2020/11/17,Intermarché,-10.56€,bouffe,
>2020/11/16,MKM (Magic),-82.90€,magic,
>2020/11/16,Intermarché,-40.06€,bouffe,
>2020/11/16,Saveurs du potager (épicerie),-14.60€,bouffe,
>2020/11/16,CDiscount,-14.16€,matériel,
>2020/11/16,CDiscount,-13.19€,matériel,
>2020/11/16,CDiscount,-10.69€,matériel,
>2020/11/16,CDiscount,-8.38€,matériel,
>2020/11/16,Cave (saint martin ?),-6.30€,bouffe,
>2020/11/16,CDiscount,-6.11€,matériel,
>2020/11/12,Carrefour,-137.97€,bouffe,
>2020/11/12,Deliveroo,-18.30€,restau,
>2020/11/12,Doctolib,-7.50€,santé,
>2020/11/10,Intermarché,-53.65€,bouffe,
>2020/11/10,Ti Coop,-27.78€,bouffe,
>2020/11/09,Virement Frederic Viera,-465.00€,loyer,
>2020/11/09,Intermarché,-29.73€,bouffe,
>2020/11/09,Savonnerie La Licorne (à check ?),-25.04€,bouffe,
>2020/11/06,Don à CARE,-10.00€,don,
>2020/11/06,MKM (Magic),4.38€,magic,
>2020/11/05,La poste,-1.40€,matériel,
>2020/11/05,Virement Mika,700.00€,caché,
>2020/11/04,Intermarché,-25.94€,bouffe,
>2020/11/04,Primeur (bredis),-9.19€,bouffe,
>2020/11/04,Poissonerie,-6.74€,bouffe,
>2020/11/03,Virement Mika,50.00€,caché,
>2020/11/03,Virement Maeliss,600.00€,caché,
>2020/11/02,Intermarché,-60.98€,bouffe,
>2020/11/02,Leclerc,-26.28€,bouffe,
>2020/11/02,Editeur livres Le Hêtre,-10.06€,culture,
>2020/11/02,Steam (jeux),-5.98€,culture,
