> Date,Libellé,Montant,Tag,Type
>2020/11/12,Carrefour,-137.97€,bouffe,
>2020/11/12,Deliveroo,-18.30€,restau,
>2020/11/12,Doctolib,-7.50€,santé,
>2020/11/10,Intermarché,-53.65€,bouffe,
>2020/11/10,Ti Coop,-27.78€,bouffe,
>2020/11/09,Virement Frederic Viera,-465.00€,loyer,
>2020/11/09,Intermarché,-29.73€,bouffe,
>2020/11/09,Savonnerie La Licorne (à check ?),-25.04€,bouffe,
>2020/11/06,Don à CARE,-10.00€,don,
>2020/11/06,MKM (Magic),4.38€,perso,
>2020/11/05,La poste,-1.40€,matériel,
>2020/11/05,Virement Mika,700.00€,caché,
>2020/11/04,Intermarché,-25.94€,bouffe,
>2020/11/04,Primeur (bredis),-9.19€,bouffe,
>2020/11/04,Poissonerie,-6.74€,bouffe,
>2020/11/03,Virement Mika,50.00€,caché,
>2020/11/03,Virement Maeliss,600.00€,caché,
>2020/11/02,Intermarché,-60.98€,bouffe,
>2020/11/02,Leclerc,-26.28€,bouffe,
>2020/11/02,Editeur livres Le Hêtre,-10.06€,culture,
>2020/11/02,Steam (jeux),-5.98€,culture,
>2020/10/30,Ti Coop,-13.45€,bouffe,
>2020/10/30,Cinéma Les Studios,-6.00€,sortie,
>2020/10/29,Ti Coop,-10.71€,bouffe,
>2020/10/29,Subway,-7.70€,restau,
>2020/10/28,The Cottage,-6.70€,sortie,
>2020/10/26,La poste mobile,-9.99€,abonnement,
>2020/10/26,Boulangerie : Fournil de Pauline,-13.90€,bouffe,
>2020/10/26,Biocoop,-11.45€,bouffe,
>2020/10/23,Ti Coop,-24.72€,bouffe,
>2020/10/23,Intermarché,-23.64€,bouffe,
>2020/10/22,Virement William,-133.16€,caché,
>2020/10/21,MKM (Magic),-2.93€,perso,
>2020/10/20,Ti Coop,-15.98€,bouffe,
>2020/10/20,Azra Market,-10.30€,bouffe,
>2020/10/20,Saveurs du potager (épicerie),-5.19€,bouffe,
>2020/10/20,Boulangerie : Fournil de Pauline,-2.40€,bouffe,
>2020/10/19,Virement Maeliss,-300.00€,caché,
>2020/10/19,MKM (Magic),-35.02€,perso,
>2020/10/19,Intermarché,-48.47€,bouffe,
>2020/10/19,Croc Jeux,-39.00€,culture,
>2020/10/19,Leclerc,-30.89€,bouffe,
>2020/10/19,Subway,-7.70€,restau,
>2020/10/16,Poissonerie,-30.95€,bouffe,
>2020/10/16,Saveurs du potager (épicerie),-11.59€,bouffe,
>2020/10/16,Boulangerie : Fournil de Pauline,-5.20€,bouffe,
>2020/10/16,"Primeur (Halles Saint Louis, La Corbeille d'Or)",-3.50€,bouffe,
>2020/10/16,"Boucherie (Meat Couture, Halles Saint Louis)",-2.52€,bouffe,
