> Date,Libellé,Montant,Tag,Type
>2020/10/14,Amazon,-26.20€,matériel,
>2020/10/14,Harmonie mutuelle,7.50€,santé,
>2020/10/13,TODO : Paypal - check détails,-31.20€,,
>2020/10/13,Kebab : Otantik kebab,-18.00€,restau,
>2020/10/13,The Blind Piper,-12.90€,sortie,
>2020/10/13,The Blind Piper,-8.50€,sortie,
>2020/10/13,Frais Banque,-23.70€,banque,
>2020/10/12,Burgers de Papa,-44.70€,restau,
>2020/10/12,Amazon,-32.18€,matériel,
>2020/10/12,Leroy Merlin,-18.55€,matériel,
>2020/10/12,Boulangerie : Fournil de Pauline,-4.00€,bouffe,
>2020/10/09,Roi de Bretagne,-14.55€,bouffe,
>2020/10/09,Saveurs du potager (épicerie),-6.75€,bouffe,
>2020/10/09,Boulangerie : Fournil de Pauline,-3.80€,bouffe,
>2020/10/08,MKM (Magic),-3.16€,perso,
>2020/10/08,MKM (Magic),18.05€,perso,
>2020/10/08,MKM (Magic),3.24€,perso,
>2020/10/07,Boucherie,-10.61€,bouffe,
>2020/10/07,Dr DU CORAIL,-7.50€,santé,
>2020/10/07,Brulerie,-6.50€,bouffe,
>2020/10/07,Primeur (Chez Seb),-2.35€,bouffe,
>2020/10/07,La maison du boulanger,-1.10€,bouffe,
>2020/10/06,Virement Frederic Viera,-65.00€,loyer,
>2020/10/06,Virement Frederic Viera,-313.52€,loyer,
>2020/10/06,Virement Mika,600.00€,caché,
>2020/10/06,Virement Maeliss,800.00€,caché,
>2020/10/05,Agios (remise ou pas),1.50€,banque,
>2020/10/05,Agios (remise ou pas),-1.50€,banque,
>2020/10/05,MKM (Magic),-3.24€,perso,
>2020/10/05,Don à CARE,-10.00€,don,
>2020/10/05,Intermarché,-53.44€,bouffe,
>2020/10/05,Primeur (Mistinguette),-19.99€,bouffe,
>2020/10/05,Intermarché,-16.12€,bouffe,
>2020/10/05,Pharmacie Nicolas,-11.90€,santé,
>2020/10/05,La Rose Crémière (Fromage),-10.08€,bouffe,
>2020/10/05,La poste,-1.40€,matériel,
>2020/10/01,Boucherie,-8.50€,bouffe,
>2020/10/01,Marché Plus (?) / Carrefour City ?,-7.47€,bouffe,
>2020/09/30,Leclerc,-86.66€,bouffe,
>2020/09/30,Décathlon,-35.00€,matériel,
>2020/09/30,Bureau Vallée,-22.96€,matériel,
>2020/09/30,Kericci (épicerie),-10.40€,bouffe,
>2020/09/30,Ludik Addict,-9.00€,culture,
>2020/09/30,Yfog (Halles Saint Martin),-3.86€,bouffe,
>2020/09/30,La Rose Crémière (Fromage),-2.71€,bouffe,
>2020/09/30,La poste,-0.97€,matériel,
>2020/09/28,Amazon,-29.99€,matériel,
>2020/09/28,Leclerc,-27.02€,bouffe,
>2020/09/28,La Casa de Papilles,-18.80€,restau,
>2020/09/28,Netflix,-7.99€,abonnement,
>2020/09/25,Intermarché,-43.07€,bouffe,
>2020/09/25,La poste,-17.42€,matériel,
>2020/09/25,VIREMENT DE Credit Agricole Immo ier Services Diffus 6626009 DEMIRDELEN/MARCHAND Mikail/Mae -,599.89€,,
>2020/09/24,MKM (Magic),-13.04€,perso,
>2020/09/24,La poste,-14.99€,matériel,
>2020/09/23,Subway,-11.30€,restau,
>2020/09/22,PRELEVEMENT DE EDF clients parti iers REF : Z010551826127 11403 1 S 114,-19.58€,,
>2020/09/21,MKM (Magic),-17.41€,perso,
>2020/09/21,MKM (Magic),-6.29€,perso,
>2020/09/21,MKM (Magic),-20.99€,perso,
>2020/09/21,MKM (Magic),-13.02€,perso,
>2020/09/21,MKM (Magic),-3.90€,perso,
>2020/09/21,PRELEVEMENT DE BOUYGUES TELECOM YGUES TELECOM REF : PAGP0100NN9XIQ Box,-24.68€,,
>2020/09/21,L'arche à Jeux,-27.00€,culture,
>2020/09/21,Virement Maeliss,200.00€,caché,
>2020/09/18,Virement Mika,-150.00€,caché,
>2020/09/18,MKM (Magic),-10.62€,perso,
>2020/09/18,Amazon,-29.88€,matériel,
>2020/09/17,Virement William,-189.58€,caché,
>2020/09/15,Amazon,-25.87€,matériel,
>2020/09/15,Kebab (Istambul),-16.90€,restau,
>2020/09/15,Leclerc,-11.96€,bouffe,
>2020/09/15,Virement Frederic Viera,400.00€,loyer,
