> Date,Libellé,Montant,Tag,Type
>2021/05/07,Frais banque CIC,-5.50€,banque,
>2021/06/07,Frais banque CIC,-5.50€,banque,
>2021/06/14,RELANCE IMPAYE 1 14252 20144103,-19.90€,banque,
>2021/06/15,Pole Emploi,1057.72€,salaire,
>2021/06/16,Virement Compte Commun,-500.00€,caché,
>2021/06/16,Retard paiement,-21.94€,banque,
>2021/06/27,Virement Compte Commun,-200.00€,caché,
>2021/06/29,Paypal Bateau Molène,-60.00€,perso,
>2021/07/01,Pole Emploi,1023.60€,salaire,
>2021/07/05,Prêt étudiant,-271.62€,perso,
>2021/07/07,Chèque - Paiement analyse sang,-6.81€,santé,
>2021/07/07,Virement Compte Commun,-800.00€,caché,
