> Date,Libellé,Montant,Tag,Type
>2020/09/18,DAB,-30.00€,dab,
>2020/09/21,Virement Mika,150.00€,caché,
>2020/09/21,La poste,-1.40€,matériel,
>2020/09/22,DAB,-60.00€,dab,
>2020/09/28,Paypal - Spotify,-9.99€,abonnement,
>2020/10/01,Paypal - Google Play,-47.88€,abonnement,,
>2020/10/05,Pole Emploi,1023.60€,salaire,
>2020/10/05,Virement Compte Commun,-600.00€,caché,
>2020/10/05,Prêt étudiant,-271.62€,perso,
>2020/10/06,Paypal - Jeu Nintendo,-4.99€,culture,
>2020/10/06,Frais banque CIC,-5.50€,banque,
>2020/10/12,Chèque,-24.00€,autre,
