Date;Type;Statut;Montant;Détails
11/02/2025;Débit;Succès;18,48 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
06/02/2025;Débit;Succès;23,26 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
05/02/2025;Débit;Succès;18,00 €;MME BRANELLEC ANNIE - 127 RUE JEAN JAURES  BREST 29200
04/02/2025;Débit;Succès;24,90 €;SARL EVAB1 - 50 RUE JEAN JAURES  BREST 29200
31/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
28/01/2025;Débit;Succès;25,00 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
23/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
21/01/2025;Débit;Succès;8,92 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
18/01/2025;Débit;Succès;17,95 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
17/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
