Date;Type;Statut;Montant;Détails
18/09/2021;Débit;Echec;14,40 €;Votre solde est insuffisant. ( Refusée )
17/09/2021;Débit;Succès;37,80 €;SARL XIN LE YUAN - 13 RUE GEORGES DIDAILLER  BREST 29200
15/09/2021;Débit;Succès;23,80 €;SARL QLMD - 5 RUE DE MADAGASCAR  BREST 29200
11/09/2021;Débit;Succès;38,00 €;SARL CARPE DIEM - 5 RUE COAT AR GUEVEN  BREST 29200
10/09/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
08/09/2021;Débit;Echec;35,00 €;Commerçant non autorisé ( Refusée )
08/09/2021;Débit;Echec;35,00 €;Commerçant non autorisé ( Refusée )
07/09/2021;Débit;Succès;10,50 €;SARL E KICHEN AND AOD - 2 RUE JULES FERRY  LE RELECQ KERHUON 29480
07/09/2021;Crédit;Succès;126,00 €;Chargement de votre carte ( 12 titres x 10,50 € )
04/09/2021;Débit;Echec;35,50 €;Commerçant non autorisé ( Refusée )
21/08/2021;Débit;Echec;26,80 €;Votre solde est insuffisant. ( Refusée )
20/08/2021;Débit;Succès;11,54 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
19/08/2021;Débit;Succès;2,25 €;SARL LE MOULIN DE L IROISE - 10 ALLEE DE POUL AR FEUNTEUN  GUIPAVAS 29490
18/08/2021;Débit;Succès;4,30 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
17/08/2021;Débit;Succès;12,00 €;SARL AUGUSTIN BREST IROISE - 126 BOULEVARD DE PLYMOUTH  BREST 29200
