Date;Type;Statut;Montant;Détails
20/08/2021;Débit;Succès;11,54 €;SA HEBRIDES\BREST CEDEX 2 29223 FR
19/08/2021;Débit;Succès;2,25 €;SARL LE MOULIN DE L IROISE - 10 ALLEE DE POUL AR FEUNTEUN  GUIPAVAS 29490
18/08/2021;Débit;Succès;4,30 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
17/08/2021;Débit;Succès;12,00 €;SARL AUGUSTIN BREST IROISE - 126 BOULEVARD DE PLYMOUTH  BREST 29200
14/08/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
12/08/2021;Débit;Succès;19,00 €;SAS DCF - ROUTE DE GOUESNOU  BREST CEDEX 2 29283
09/08/2021;Débit;Succès;8,50 €;SARL LEATOM - 260 RUE JEAN JAURES  BREST 29200
06/08/2021;Débit;Succès;17,90 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
05/08/2021;Débit;Succès;31,80 €;LE BISTROT     0387151 - 18 QUAI DE LA DOUANE  BREST 29200
04/08/2021;Débit;Succès;5,40 €;SARL EVAB1 - 50 RUE JEAN JAURES  BREST 29200
04/08/2021;Débit;Succès;22,00 €;ROADSIDE - 23 PL DE LA LIBERTE  BREST 29200
30/07/2021;Débit;Succès;15,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
29/07/2021;Débit;Succès;33,00 €;SARL CABELLAN JEZEGOU - 9 RUE SAINT MARC  BREST 29200
29/07/2021;Débit;Succès;2,10 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
28/07/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
28/07/2021;Crédit;Succès;157,50 €;Chargement de votre carte ( 15 titres x 10,50 € )
24/07/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
21/07/2021;Débit;Succès;20,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
19/07/2021;Débit;Succès;9,74 €;SARL JULIADIS - 41 RUE DE SIAM  BREST 29200
19/07/2021;Débit;Succès;3,60 €;SARL E KICHEN AND AOD - 2 RUE JULES FERRY  LE RELECQ KERHUON 29480
18/07/2021;Débit;Succès;7,20 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
16/07/2021;Débit;Succès;19,00 €;SARL LEATOM - 260 RUE JEAN JAURES  BREST 29200
