> Date,Libellé,Montant,Tag,Type
>2021/08/20,CTR : Intermarché,-11.54€,bouffe,
>2021/08/19,CTR : Boulangerie Le Moulin de l'Iroise,-2.25€,bouffe,
>2021/08/18,CTR : Boulangerie Tartines d'Autrefois,-4.30€,bouffe,
>2021/08/17,CTR : Boulangerie Saint Augustin,-12.00€,bouffe,
>2021/08/14,CTR : Intermarché,-19.00€,bouffe,
>2021/08/12,CTR : Géant Casino,-19.00€,bouffe,
>2021/08/09,CTR : Carrefour City,-8.50€,bouffe,
>2021/08/06,CTR : Intermarché,-17.90€,bouffe,
>2021/08/05,CTR : Le Bistrot,-31.80€,restau,
>2021/08/04,CTR : Macdo,-5.40€,restau,
>2021/08/04,CTR : Roadside,-22.00€,restau,
>2021/07/30,CTR : Midtown,-15.00€,restau,
>2021/07/29,CTR : Crêperie Cornouaille,-33.00€,restau,
>2021/07/29,CTR : Boulangerie Tartines d'Autrefois,-2.10€,bouffe,
>2021/07/28,CTR : Intermarché,-19.00€,bouffe,
>2021/07/28,"Chargement de votre carte ( 15 titres x 10,50 € )",157.50€,salaire,
>2021/07/24,CTR : Intermarché,-19.00€,bouffe,
>2021/07/21,CTR : Midtown,-20.00€,restau,
>2021/07/19,CTR : Carrefour City,-9.74€,bouffe,
>2021/07/19,CTR : Boulangerie Kichen An Aod,-3.60€,bouffe,
>2021/07/18,CTR : Fournil de Pauline (Boulangerie),-7.20€,bouffe,
>2021/07/16,CTR : Carrefour City,-19.00€,bouffe,
