Date;Type;Statut;Montant;Détails
13/07/2021;Débit;Succès;3,94 €;SARL JLGA RENNES - 23 BOULEVARD LEON BOURGEOIS  RENNES 35000
12/07/2021;Débit;Succès;20,40 €;SARL ANGELE - CCIAL ALMA  RENNES 35000
10/07/2021;Débit;Succès;6,00 €;SARL JANVIER - 68 BOULEVARD VILLEBOIS MAREUIL  RENNES 35000
08/07/2021;Débit;Succès;9,20 €;SARL FLO 2005 - 16 PLACE DE LA LIBERTE  BREST 29200
07/07/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
03/07/2021;Crédit;Succès;210,00 €;Chargement de votre carte ( 20 titres x 10,50 € )
29/06/2021;Débit;Echec;19,00 €;Votre solde est insuffisant. ( Refusée )
28/06/2021;Débit;Succès;3,40 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
26/06/2021;Débit;Echec;38,00 €;Votre solde est insuffisant. ( Refusée )
23/06/2021;Débit;Echec;16,10 €;Votre solde est insuffisant. ( Refusée )
23/06/2021;Débit;Echec;16,10 €;Votre solde est insuffisant. ( Refusée )
21/06/2021;Débit;Succès;37,45 €;MARCELLE MORRIS - 115 QUAI ERIC TABARLY  BREST 29200
19/06/2021;Débit;Succès;18,50 €;SARL LES GOURMANDISES DE ST PIER - 33 RUE VICTOR EUSEN  BREST 29200
18/06/2021;Débit;Succès;38,00 €;SAS OTANTIK KEBAB - 15 RUE DE SIAM  BREST 29200
17/06/2021;Débit;Succès;19,00 €;SA HEBRIDES - 97 RUE P MASSON  BREST CEDEX 2 29223
16/06/2021;Débit;Succès;7,20 €;SARL FONTAINE - 3 RUE DE BREST  PLOUZANE 29280
