> Date,Libellé,Montant,Tag,Type
>2021/07/13,CTR : Carrefour City,-3.94€,bouffe,
>2021/07/12,CTR : Brasserie Angele,-20.40€,restau,
>2021/07/10,CTR : Boulangerie Christian Janvier,-6.00€,bouffe,
>2021/07/08,CTR : Subway,-9.20€,restau,
>2021/07/07,CTR : Intermarché,-19.00€,bouffe,
>2021/07/03,"Chargement de votre carte ( 20 titres x 10,50 € )",210.00€,salaire,
>2021/06/28,CTR : Fournil de Pauline (Boulangerie),-3.40€,bouffe,
>2021/06/21,CTR : Marcelle et Moris,-37.45€,restau,
>2021/06/19,CTR : Boulangerie Gourmandises de Saint Pierre,-18.50€,bouffe,
>2021/06/18,CTR : Otantik Kebab,-38.00€,restau,
>2021/06/17,CTR : Intermarché,-19.00€,bouffe,
>2021/06/16,CTR : Sandwich,-7.20€,bouffe,
