Date;Type;Statut;Montant;Détails
26/08/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
25/08/2023;Débit;Succès;12,81 €;SARL 3DLS - PLACE NAPOLEON III  BREST 29200
24/08/2023;Débit;Succès;5,54 €;SARL 3DLS - PLACE NAPOLEON III  BREST 29200
21/08/2023;Débit;Succès;10,09 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
19/08/2023;Débit;Succès;15,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
19/08/2023;Débit;Succès;5,64 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
14/08/2023;Débit;Succès;25,00 €;SAS CARREFOUR HYPERMARCHES - 126 BOULEVARD DE PLYMOUTH  BREST 29200
10/08/2023;Débit;Succès;14,50 €;BELLEVUE KEBAB - 36 RUE PROFESSEUR LANGEVIN  BREST 29200
10/08/2023;Débit;Succès;9,20 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
09/08/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
07/08/2023;Débit;Succès;22,00 €;ROADSIDE - 23 PLACE DE LA LIBERTE  BREST 29200
04/08/2023;Débit;Succès;25,00 €;SAS CARREFOUR HYPERMARCHES - 126 BOULEVARD DE PLYMOUTH  BREST 29200
03/08/2023;Débit;Succès;6,68 €;SARL 3DLS - PLACE NAPOLEON III  BREST 29200
29/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
28/07/2023;Crédit;Succès;86,64 €;Chargement de votre carte ( 8 titres x 10,83 € )
27/07/2023;Débit;Succès;25,00 €;ORIJINAL PIDE - 31     RUE MONGE  BREST 29200
26/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
