Date;Type;Statut;Montant;Détails
29/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
28/07/2023;Crédit;Succès;86,64 €;Chargement de votre carte ( 8 titres x 10,83 € )
27/07/2023;Débit;Succès;25,00 €;ORIJINAL PIDE - 31     RUE MONGE  BREST 29200
26/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
20/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
15/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
11/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
08/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
05/07/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
04/07/2023;Débit;Succès;24,65 €;SARL AVEL BREIZH - 4 RUE J MONNET  LE RELECQ KERHUON 29480
04/07/2023;Crédit;Succès;173,28 €;Chargement de votre carte ( 16 titres x 10,83 € )
03/07/2023;Débit;Succès;4,20 €;SARL BEAJ - 51 RUE BRANDA  BREST 29200
03/07/2023;Débit;Succès;2,78 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
