Date;Type;Statut;Montant;Détails
28/06/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
23/06/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
22/06/2023;Débit;Echec;16,00 €;Commerçant non autorisé ( Refusée )
21/06/2023;Débit;Succès;7,70 €;ROADSIDE - 23 PLACE DE LA LIBERTE  BREST 29200
20/06/2023;Débit;Succès;17,50 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
19/06/2023;Débit;Echec;36,20 €;Solde insuffisant : Plafond quotidien de 25 € atteint ( Refusée )
10/06/2023;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
09/06/2023;Débit;Succès;7,60 €;SARL FLO 2005 - 16 PLACE DE LA LIBERTE  BREST 29200
06/06/2023;Crédit;Succès;97,47 €;Chargement de votre carte ( 9 titres x 10,83 € )
05/06/2023;Débit;Echec;7,50 €;Commerçant non autorisé ( Refusée )
04/06/2023;Débit;Echec;11,80 €;Tentative d'utilisation hors périodes autorisées ( Refusée )
01/06/2023;Débit;Succès;18,39 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
31/05/2023;Débit;Succès;23,00 €;SAS OTANTIK KEBAB - 15 RUE DE SIAM  BREST 29200
06/05/2023;Crédit;Succès;151,62 €;Chargement de votre carte ( 14 titres x 10,83 € )
03/05/2023;Débit;Succès;23,00 €;SAS OTANTIK KEBAB - 15 RUE DE SIAM  BREST 29200
02/05/2023;Débit;Succès;2,85 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
30/04/2023;Débit;Echec;25,00 €;Tentative d'utilisation hors périodes autorisées ( Refusée )
22/04/2023;Débit;Succès;25,00 €;SARL 3DLS - PLACE NAPOLEON III  BREST 29200
15/04/2023;Débit;Echec;14,00 €;Commerçant non autorisé ( Refusée )
14/04/2023;Débit;Succès;25,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
06/04/2023;Crédit;Succès;94,50 €;Chargement de votre carte ( 9 titres x 10,50 € )
17/03/2023;Crédit;Succès;1,74 €;Echange de vos titres périmés 2022 sur le millésime 2023
16/03/2023;Débit;Succès;25,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
16/03/2023;Débit;Echec;33,00 €;Solde insuffisant : Plafond quotidien de 25 € atteint ( Refusée )
12/03/2023;Débit;Echec;25,00 €;Tentative d'utilisation hors périodes autorisées ( Refusée )
09/03/2023;Débit;Succès;23,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
06/03/2023;Crédit;Succès;136,50 €;Chargement de votre carte ( 13 titres x 10,50 € )
01/03/2023;Débit;Succès;1,74 €;Titres périmés
