Date;Type;Statut;Montant;Détails
18/07/2024;Débit;Echec;25,00 €;Votre solde est insuffisant. ( Refusée )
18/07/2024;Débit;Echec;25,00 €;Votre solde est insuffisant. ( Refusée )
13/07/2024;Débit;Succès;8,33 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
29/06/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
20/06/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
17/06/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
15/06/2024;Débit;Succès;25,00 €;SARL XIN LE YUAN - 13 RUE GEORGES DIDAILLER  BREST 29200
14/06/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
08/06/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
07/06/2024;Débit;Succès;25,00 €;BENVENUTO AU FAP - 4 RUE JULES FERRY  BREST 29200
01/06/2024;Crédit;Succès;83,79 €;Chargement de votre carte ( 7 titres x 11,97 € )
31/05/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
18/05/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
11/05/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
07/05/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
04/05/2024;Débit;Succès;25,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
04/05/2024;Crédit;Succès;97,47 €;Chargement de votre carte ( 9 titres x 10,83 € )
