Date;Type;Statut;Montant;Détails
31/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
28/01/2025;Débit;Succès;25,00 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
23/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
21/01/2025;Débit;Succès;8,92 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
18/01/2025;Débit;Succès;17,95 €;EURL BOULANGERIE NICOL - 118 BOULEVARD MONTAIGNE  BREST 29200
17/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
14/01/2025;Débit;Succès;6,86 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
14/01/2025;Débit;Succès;17,20 €;SARL TARTINES D AUTREFOIS - 60 ROUTE DE QUIMPER  BREST 29200
10/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
09/01/2025;Débit;Echec;9,24 €;Commerçant non autorisé ( Refusée )
09/01/2025;Débit;Succès;15,10 €;SARL FLO 2005 - 16 PLACE DE LA LIBERTE  BREST 29200
03/01/2025;Débit;Succès;25,00 €;SAS U EXPRESS - 97 RUE PAUL MASSON  BREST 29200
