Date;Type;Statut;Montant;Détails
27/04/2022;Débit;Succès;4,27 €;SARL LEATOM - 260 RUE JEAN JAURES  BREST 29200
27/04/2022;Débit;Succès;8,50 €;SARL E KICHEN AND AOD - 2 RUE JULES FERRY  LE RELECQ KERHUON 29480
23/04/2022;Débit;Succès;6,50 €;BELLEVUE KEBAB - 36 RUE PROFESSEUR LANGEVIN  BREST 29200
16/04/2022;Débit;Succès;29,20 €;SAS JIPIGOULI - 27 RUE REMY COPPIN  BREST 29200
15/04/2022;Débit;Succès;19,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
12/04/2022;Débit;Succès;28,20 €;SAS JIPIGOULI - 27 RUE REMY COPPIN  BREST 29200
12/04/2022;Crédit;Succès;94,50 €;Chargement de votre carte ( 9 titres x 10,50 € )
08/04/2022;Débit;Succès;16,32 €;SARL CABELLAN JEZEGOU - 9 RUE SAINT MARC  BREST 29200
06/04/2022;Débit;Succès;17,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
03/04/2022;Débit;Succès;3,60 €;SARL MAP GARE - 19 PLACE DE LA GARE  RENNES 35000
03/04/2022;Débit;Succès;27,80 €;SARL MAP GARE - 19 PLACE DE LA GARE  RENNES 35000
01/04/2022;Débit;Succès;3,00 €;SARL HELIES LOIC - 31 RUE PROFESSEUR LANGEVIN  BREST 29200
