Date;Type;Statut;Montant;Détails
25/02/2022;Débit;Succès;2,60 €;SARL E KICHEN AND AOD - 2 RUE JULES FERRY  LE RELECQ KERHUON 29480
23/02/2022;Débit;Succès;36,10 €;SARL QLMD - 5 RUE DE MADAGASCAR  BREST 29200
19/02/2022;Débit;Succès;19,00 €;ORIJINAL PIDE - 31     RUE MONGE  BREST 29200
18/02/2022;Débit;Succès;19,00 €;SAS DCF - ROUTE DE GOUESNOU  BREST CEDEX 2 29283
16/02/2022;Débit;Succès;38,00 €;SARL BRGR - 16 ET 18 RUE ALGESIRAS  BREST 29200
14/02/2022;Débit;Succès;3,00 €;SAS LA BRIOCHE DOREE - 29 RUE DU GOUESNOU  BREST CEDEX 2 29220
13/02/2022;Débit;Succès;6,90 €;SARL LE TAMELIER DE SAINT MARC - 1 PLACE SIMON  BREST 29200
10/02/2022;Débit;Succès;37,80 €;SARL XIN LE YUAN - 13 RUE GEORGES DIDAILLER  BREST 29200
09/02/2022;Débit;Succès;35,00 €;SARL BRGR - 16 ET 18 RUE ALGESIRAS  BREST 29200
04/02/2022;Crédit;Succès;199,50 €;Chargement de votre carte ( 19 titres x 10,50 € )
