Date;Type;Statut;Montant;Détails
29/06/2022;Débit;Succès;38,00 €;SAS MEMORIA - 21 RUE MAGENTA  BREST 29200
28/06/2022;Débit;Succès;7,00 €;BELLEVUE KEBAB - 36 RUE PROFESSEUR LANGEVIN  BREST 29200
28/06/2022;Débit;Succès;14,90 €;SARL XIN LE YUAN - 13 RUE GEORGES DIDAILLER  BREST 29200
24/06/2022;Débit;Succès;38,00 €;SARL COULEURS INSULAIRES - 23 RUE DES HALLES SAINT LOUIS  BREST 29200
20/06/2022;Débit;Succès;9,35 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
18/06/2022;Débit;Succès;7,00 €;SARL BALBEK - 144 RUE J JAURES  BREST 29200
13/06/2022;Débit;Succès;13,00 €;BELLEVUE KEBAB - 36 RUE PROFESSEUR LANGEVIN  BREST 29200
11/06/2022;Débit;Succès;35,90 €;SARL QLMD - 5 RUE DE MADAGASCAR  BREST 29200
10/06/2022;Débit;Succès;35,00 €;ORIJINAL PIDE - 31     RUE MONGE  BREST 29200
10/06/2022;Crédit;Succès;73,50 €;Chargement de votre carte ( 7 titres x 10,50 € )
09/06/2022;Débit;Succès;20,00 €;SARL MIDTOWN - 27 RUE DE BREST  PLOUZANE 29280
07/06/2022;Débit;Succès;19,00 €;SA STEREN - 118 ROUTE DE QUIMPER  BREST 29200
02/06/2022;Débit;Succès;17,86 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
