Date;Type;Statut;Montant;Détails
30/03/2022;Débit;Succès;31,35 €;SARL AVEL BREIZH - 4 RUE J MONNET  LE RELECQ KERHUON 29480
27/03/2022;Débit;Succès;31,40 €;SAS JIPIGOULI - 27 RUE REMY COPPIN  BREST 29200
25/03/2022;Débit;Succès;19,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
23/03/2022;Crédit;Succès;267,08 €;Echange de vos titres périmés 2021 sur le millésime 2022
19/03/2022;Débit;Succès;19,00 €;SAS DCF - ROUTE DE GOUESNOU  BREST CEDEX 2 29283
14/03/2022;Débit;Succès;19,00 €;BELLEVUE KEBAB - 36 RUE PROFESSEUR LANGEVIN  BREST 29200
12/03/2022;Débit;Succès;19,00 €;SAS SAS DISTRIBREIZH - 17 RUE CUIRASSE BRETAGNE  BREST 29200
10/03/2022;Débit;Succès;37,80 €;SARL XIN LE YUAN - 13 RUE GEORGES DIDAILLER  BREST 29200
08/03/2022;Débit;Succès;6,65 €;SARL LE TAMELIER DE SAINT MARC - 1 PLACE SIMON  BREST 29200
03/03/2022;Débit;Succès;12,55 €;SARL LE TAMELIER DE SAINT MARC - 1 PLACE SIMON  BREST 29200
01/03/2022;Débit;Succès;267,08 €;Titres périmés
